Size,BlockConfig,Time_seconds
200,8x8,0.000382415
200,16x16,0.000226904
200,32x8,0.000241196
200,64x4,0.000242731
200,128x2,0.000240738
200,8x32,0.000211135
200,4x64,0.000219371
200,2x128,0.000361194
400,8x8,0.0015148
400,16x16,0.00147292
400,32x8,0.00155507
400,64x4,0.00156132
400,128x2,0.00161425
400,8x32,0.00152517
400,4x64,0.00177215
400,2x128,0.0031972
800,8x8,0.0115747
800,16x16,0.0114499
800,32x8,0.0114318
800,64x4,0.0117187
800,128x2,0.0115572
800,8x32,0.0115241
800,4x64,0.0139401
800,2x128,0.025082
1200,8x8,0.0387551
1200,16x16,0.0383555
1200,32x8,0.0388736
1200,64x4,0.0301782
1200,128x2,0.0242187
1200,8x32,0.0239606
1200,4x64,0.0290586
1200,2x128,0.0523605
1600,8x8,0.0916539
1600,16x16,0.0907419
1600,32x8,0.0691865
1600,64x4,0.0570305
1600,128x2,0.0672344
1600,8x32,0.0497981
1600,4x64,0.0521969
1600,2x128,0.084044
2000,8x8,0.178996
2000,16x16,0.11576
2000,32x8,0.0838829
2000,64x4,0.0971505
2000,128x2,0.160439
2000,8x32,0.100379
2000,4x64,0.098051
2000,2x128,0.160787
